n:	50
m:	2
Pi[1-99]	70	21	99	48	15	59	9	54	3	28	71	90	84	46	74	11	1	65	32	44	95	64	9	47	9	20	2	32	80	42	99	94	33	61	99	2	70	96	6	76	79	61	62	28	68	48	97	53	9	6
Sij[1-49]																																																		
0	14	4	49	31	7	49	42	25	11	2	35	2	12	37	46	17	9	46	38	21	32	28	2	21	25	33	27	25	44	6	37	25	27	10	11	21	27	32	48	28	34	5	48	26	26	45	41	21	20	25
19	0	6	37	11	39	12	13	24	1	21	30	16	48	29	24	17	32	2	42	10	40	16	22	14	23	44	12	19	44	30	4	46	17	47	39	7	47	21	38	6	48	4	45	39	15	5	15	35	27	43
15	48	0	41	38	43	30	31	12	15	42	26	11	23	40	35	34	5	5	1	1	9	30	10	1	8	8	26	6	18	19	27	32	47	5	31	16	1	7	21	45	31	8	25	12	20	21	19	2	49	33
8	28	19	0	19	45	22	24	46	41	46	2	7	44	45	27	22	13	41	2	9	15	26	38	37	6	33	14	28	43	14	5	38	30	20	31	7	27	11	21	45	10	5	22	26	28	1	12	33	6	17
10	39	23	34	0	4	43	46	26	28	17	10	14	33	48	31	40	25	35	25	42	6	20	48	21	8	10	27	29	3	31	34	32	4	24	49	29	4	15	45	15	49	26	13	6	28	43	25	45	3	32
9	22	2	24	9	0	44	44	12	46	3	46	26	39	6	21	14	20	20	13	20	42	19	32	29	38	3	12	4	39	42	29	6	34	7	25	8	12	12	35	28	3	23	5	45	20	5	43	24	34	4
16	47	24	37	27	4	0	33	18	18	33	49	20	12	34	45	3	8	1	40	19	6	20	11	20	10	11	13	49	17	39	29	31	1	47	12	43	24	33	1	19	28	15	47	18	8	30	18	35	14	18
31	30	13	45	19	21	9	0	9	36	24	5	17	35	39	1	25	20	35	14	29	26	38	48	41	30	2	7	41	21	24	3	23	47	43	28	18	8	22	45	13	18	33	28	7	10	3	46	25	17	34
23	14	28	4	43	14	1	5	0	32	40	27	32	34	2	29	7	1	44	45	12	49	28	39	12	34	16	24	29	9	44	22	5	26	28	39	12	14	11	48	35	14	25	6	4	9	31	5	2	2	39
11	2	32	49	22	6	28	5	7	0	38	39	36	12	12	44	11	38	21	25	8	43	21	16	20	8	3	26	30	49	4	7	34	1	5	39	12	23	31	39	6	39	42	33	22	8	32	6	38	6	23
17	40	3	22	9	18	15	15	1	33	0	6	7	19	13	22	24	38	40	42	32	21	41	1	20	23	29	31	1	48	2	38	11	9	49	37	46	22	7	39	36	2	1	10	43	27	34	7	27	34	7
26	45	13	30	9	18	36	16	34	7	47	0	49	20	2	41	8	31	6	13	8	18	21	4	31	25	13	29	32	48	34	49	8	25	28	13	25	22	13	48	40	45	44	45	46	4	43	48	21	25	20
6	49	17	26	25	19	45	34	16	26	6	4	0	48	19	33	15	20	49	20	17	22	6	30	20	15	5	28	44	17	32	45	21	3	16	22	17	46	15	18	34	37	48	10	5	8	1	42	39	16	39
40	47	43	44	49	7	20	46	32	48	25	7	41	0	7	13	44	20	23	13	18	7	49	20	16	6	28	22	43	9	27	12	2	31	4	10	36	9	8	33	3	43	25	29	12	34	13	26	43	15	2
19	21	39	45	46	27	6	16	41	49	3	4	8	35	0	38	44	34	9	39	12	16	38	19	40	19	41	36	30	45	34	33	24	12	45	22	16	2	17	27	22	4	24	39	49	20	48	48	46	31	48
24	17	40	37	34	37	8	6	12	38	22	23	14	46	27	0	29	34	19	20	28	28	37	41	37	9	17	9	24	40	7	10	28	14	7	21	47	10	32	5	43	25	28	10	14	32	30	16	5	19	7
25	31	28	34	27	25	45	21	21	47	46	18	19	48	11	48	0	22	45	14	21	37	27	16	7	22	35	11	13	20	31	21	10	4	4	21	49	28	36	23	5	2	3	30	8	40	34	44	13	28	13
27	33	12	37	4	30	32	21	3	23	31	33	12	25	45	41	23	0	44	38	10	29	1	18	39	44	12	14	31	49	23	42	25	15	17	8	22	9	47	46	1	35	8	9	29	44	16	43	19	46	9
32	28	40	28	38	44	41	43	32	39	39	19	34	14	28	48	45	37	0	17	7	35	38	39	36	29	26	26	8	42	16	12	25	12	6	49	25	28	46	5	36	21	36	1	30	15	4	1	33	20	2
32	34	2	6	33	47	29	21	21	32	18	6	22	35	37	31	42	17	9	0	12	11	37	10	4	40	6	30	22	27	7	33	14	36	8	18	40	5	8	31	38	30	45	49	17	22	33	36	27	22	35
24	21	10	44	20	30	13	36	17	13	41	28	45	16	12	8	32	18	13	40	0	49	19	16	5	21	35	21	11	35	29	47	35	46	46	27	18	43	16	29	2	40	3	13	40	1	18	29	7	36	13
20	29	3	14	15	28	9	26	17	38	34	24	16	18	42	39	26	3	35	12	22	0	5	39	45	33	18	7	14	48	47	15	22	40	10	31	8	11	22	36	36	20	8	37	10	25	47	32	11	35	43
13	11	25	27	24	42	21	3	24	48	48	25	35	28	5	32	25	44	19	46	47	7	0	26	49	42	36	8	4	9	29	43	44	23	46	30	15	24	10	36	19	32	23	2	19	18	49	19	30	13	14
49	22	17	30	2	3	31	28	11	45	34	32	44	44	8	47	30	7	7	5	29	44	18	0	23	27	31	40	45	42	17	3	25	24	40	22	45	40	43	4	29	16	33	11	7	10	1	2	12	25	16
46	4	33	3	12	11	45	22	26	10	40	11	23	30	27	21	27	36	11	3	33	13	6	12	0	20	8	5	35	3	2	2	36	23	44	18	27	45	27	31	27	27	11	24	45	20	17	34	21	48	15
24	22	24	19	36	2	9	35	20	35	39	34	13	45	9	48	5	15	24	20	9	9	34	15	41	0	48	12	38	36	3	15	10	43	20	35	34	29	15	4	44	49	27	21	39	37	49	12	10	47	21
34	33	17	19	10	22	26	10	16	26	36	26	34	46	4	33	2	36	2	43	34	47	45	28	4	9	0	45	5	34	16	20	40	19	10	4	33	18	38	20	8	26	30	22	35	25	24	43	35	47	44
22	27	8	16	27	25	27	37	40	41	39	21	48	6	6	28	13	47	22	34	24	42	42	4	27	28	25	0	42	16	25	34	21	23	18	24	24	41	12	23	16	1	23	18	27	44	8	36	33	10	4
3	43	21	25	31	4	38	37	5	6	29	41	34	25	4	39	28	32	24	6	29	17	48	46	9	48	5	3	0	39	39	41	47	39	23	1	9	2	18	13	42	27	18	23	10	32	34	30	10	34	20
10	17	19	34	40	49	19	35	23	37	39	2	18	37	8	25	48	37	40	46	16	8	35	45	7	40	36	49	33	0	37	38	27	40	37	44	43	25	49	48	12	43	5	1	33	41	39	26	19	35	15
15	42	17	19	11	20	43	8	39	43	9	49	43	32	14	31	12	40	19	38	16	46	3	14	4	3	44	36	39	46	0	47	40	31	19	49	13	39	39	49	37	20	42	22	37	4	8	1	34	6	1
20	4	35	45	7	30	36	30	1	2	43	23	39	37	7	32	33	5	11	41	17	47	24	49	45	34	29	15	10	3	47	0	16	32	27	12	39	40	21	27	6	18	2	44	37	49	19	15	4	13	46
14	43	32	4	47	15	45	43	30	4	8	49	49	31	49	2	6	27	49	35	13	49	18	2	16	19	41	37	18	24	34	22	0	34	44	3	29	35	38	47	3	16	1	44	12	30	8	19	1	41	22
44	22	1	46	33	36	26	38	36	12	33	29	9	43	40	21	28	47	6	9	14	4	5	34	20	48	28	8	26	16	41	49	1	0	11	15	36	3	13	9	27	44	31	1	49	25	14	44	37	3	18
34	39	23	26	49	2	43	23	25	45	14	9	46	16	31	7	12	8	11	49	22	1	43	42	29	15	30	36	22	7	34	27	43	9	0	16	34	30	16	5	33	2	37	18	1	37	25	6	21	21	45
30	1	29	36	26	8	17	36	33	21	49	5	38	33	7	15	43	1	29	4	48	11	39	13	49	15	28	14	49	27	2	30	37	46	11	0	2	6	40	8	37	29	26	27	13	14	29	38	4	22	30
14	42	24	49	35	32	46	41	12	33	44	20	6	47	4	48	35	17	37	13	49	13	11	40	10	46	15	36	44	23	42	31	45	21	10	13	0	30	17	18	49	23	6	8	13	10	31	15	41	9	28
45	44	10	1	8	30	44	41	44	19	43	37	21	11	22	4	33	1	49	16	2	2	43	6	13	43	40	24	33	24	19	45	16	38	40	21	24	0	40	14	30	1	32	42	46	22	46	46	39	39	14
4	12	35	40	24	38	26	15	35	46	23	32	43	5	1	47	8	11	38	2	2	36	29	44	37	40	24	7	14	29	25	41	14	1	46	45	40	6	0	44	20	7	37	25	22	47	27	34	10	41	37
30	25	30	49	48	16	26	30	48	24	43	5	11	25	34	8	35	10	26	16	22	20	46	41	47	8	49	35	13	29	28	16	3	14	21	34	41	7	47	0	37	31	10	8	29	29	28	21	18	48	30
37	48	5	21	25	4	8	47	18	34	34	4	20	27	43	2	35	49	13	25	11	17	28	19	27	15	35	34	47	46	41	42	47	1	25	32	16	49	31	42	0	33	5	33	45	9	2	43	12	2	23
11	34	20	46	33	13	46	30	40	21	46	23	20	22	20	8	16	48	31	2	10	16	3	47	19	25	3	21	42	5	33	22	38	28	5	45	47	48	48	5	30	0	8	15	48	16	45	11	30	45	22
29	28	27	1	49	10	17	18	3	12	36	31	22	42	5	49	29	16	47	47	9	46	22	15	6	4	27	45	25	6	37	46	31	10	20	22	33	26	39	43	16	23	0	47	41	32	14	23	13	9	1
29	2	37	17	23	9	7	2	1	49	21	4	38	32	24	5	23	14	48	33	32	6	9	42	6	29	23	26	45	1	18	23	43	25	17	2	1	3	14	7	27	41	18	0	48	42	13	27	7	13	46
43	9	35	45	6	42	37	41	20	18	21	3	33	31	48	9	2	23	6	18	21	21	2	35	48	8	8	30	15	33	8	10	12	3	14	48	38	19	18	3	22	39	27	6	0	22	41	36	47	40	22
26	21	26	25	41	14	29	7	42	20	38	35	12	48	27	46	41	32	49	48	28	18	44	12	29	16	8	7	31	3	4	2	14	40	46	9	14	26	26	1	43	27	8	39	13	0	10	32	39	43	20
28	30	27	45	5	28	28	39	4	31	41	19	19	13	36	25	14	43	29	34	39	14	28	42	17	23	2	13	32	22	25	40	37	21	16	7	40	45	32	19	16	18	2	41	45	38	0	20	41	33	35
46	32	30	17	25	10	6	12	22	13	26	23	42	36	43	28	20	5	35	43	9	7	23	13	16	26	48	26	41	1	37	37	13	37	39	45	35	38	36	4	9	37	43	20	48	23	48	0	8	39	26
40	45	42	27	12	23	2	18	16	27	17	16	27	40	21	43	31	16	45	36	13	26	27	34	6	33	18	11	44	4	47	7	25	40	8	26	20	11	27	35	25	35	21	15	11	22	44	8	0	21	47
45	35	37	25	31	17	39	29	25	41	37	14	1	40	29	15	46	48	38	32	36	47	14	48	25	15	16	18	22	2	24	30	4	15	15	35	33	13	33	15	44	20	39	38	4	43	33	48	33	0	22
13	13	20	8	48	41	38	5	45	20	31	7	26	11	15	25	42	14	27	8	48	31	47	49	6	10	16	30	28	6	38	38	8	23	43	16	38	1	45	9	29	23	46	47	4	28	5	27	44	28	0
